% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.028	1	1	3	9	1	0	85
0.029	1	1	3	10	1	0	85
0.03	1	1	4	1	1	0	85
0.031	1	1	4	2	1	0	85
0.032	1	1	4	3	1	0	85
0.033	1	1	4	4	1	0	85
0.034	1	1	4	5	1	0	85
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
0.04	1	1	5	1	1	0	85
0.041	1	1	5	2	1	0	85
0.042	1	1	5	3	1	0	85
0.043	1	1	5	4	1	0	85
0.044	1	1	5	5	1	0	85
0.045	1	1	5	6	1	0	85
0.046	1	1	5	7	1	0	85
0.047	1	1	5	8	1	0	85
0.048	1	1	5	9	1	0	85
0.049	1	1	5	10	1	0	85
0.05	1	1	6	1	1	0	85
0.051	1	1	6	2	1	0	85
0.052	1	1	6	3	1	0	85
0.053	1	1	6	4	1	0	85
0.054	1	1	6	5	1	0	85
0.055	1	1	6	6	1	0	85
0.056	1	1	6	7	1	0	85
0.057	1	1	6	8	1	0	85
0.058	1	1	6	9	1	0	85
0.059	1	1	6	10	1	0	85
0.06	1	1	7	1	1	0	85
1.067	1	1	107	8	1	0	85
1.068	1	1	107	9	1	0	85
1.069	1	1	107	10	1	0	85
1.07	1	1	108	1	1	0	85
1.071	1	1	108	2	1	0	85
1.072	1	1	108	3	1	0	85
1.073	1	1	108	4	1	0	85
1.076	1	1	108	7	1	0	85
